name,league,primary,secondary,tertiary,quaternary,division,location,mascot,sportslogos_name,logo,throwback_logo
Marshall Thundering Herd,ncaa,#00B140,#A2AAAD,#693F23,#AD7C59,C-USA,Marshall,Thundering Herd,Marshall Thundering Herd,http://content.sportslogos.net/logos/32/742/thumbs/2529.gif,
Maryland,ncaa,#E03A3E,#FFD520,#FFFFFF,#000000,Big 10,Maryland,NA,Maryland Terrapins,http://content.sportslogos.net/logos/32/743/thumbs/74354442012.gif,https://content.sportslogos.net/logos/32/743/thumbs/74352692006.gif
Massachusetts,ncaa,#971B2F,#572932,#B1B3B3,#000000,A-10,Massachusetts,NA,Massachusetts Minutemen,http://content.sportslogos.net/logos/32/887/thumbs/88759612012.gif,
Memphis Tigers,ncaa,#003087,#898D8D,NA,NA,AAC,Memphis,Tigers,Memphis Tigers,http://content.sportslogos.net/logos/32/746/thumbs/pep4eclqlq0phflhok70y3u41.gif,
Miami (FL),ncaa,#F47321,#005030,#FFFFFF,NA,ACC,Miami,(FL),Miami Hurricanes,http://content.sportslogos.net/logos/32/748/thumbs/2848.gif,https://content.sportslogos.net/logos/32/748/thumbs/74813422019.gif
Miami (OH),ncaa,#B61E2E,#000000,NA,NA,MAC,Miami (OH),(OH),Miami (Ohio) Redhawks,http://content.sportslogos.net/logos/32/749/thumbs/74994712014.gif,https://content.sportslogos.net/logos/32/749/thumbs/4686.gif
Michigan State Spartans,ncaa,#18453B,#FFFFFF,NA,NA,Big 10,Michigan State,Spartans,Michigan State Spartans,http://content.sportslogos.net/logos/32/751/thumbs/w7n08iftauae3h6rhueh.gif,https://content.sportslogos.net/logos/32/751/thumbs/75199792016.gif
Michigan Wolverines,ncaa,#00274C,#FFCB05,NA,NA,Big 10,Michigan,Wolverines,Michigan Wolverines,http://content.sportslogos.net/logos/32/750/thumbs/75075012012.gif,https://content.sportslogos.net/logos/32/750/thumbs/75072131897.gif
Middle Tennessee,ncaa,#0066CC,#69B3E7,NA,NA,C-USA,Middle Tennessee,NA,Middle Tennessee Blue Raiders,http://content.sportslogos.net/logos/32/752/thumbs/75235561998.gif,
Milwaukee,ncaa,#FFBD00,#CCCCCC,NA,NA,Horizon,Milwaukee,NA,Wisconsin-Milwaukee Panthers,http://content.sportslogos.net/logos/35/915/thumbs/91523812011.gif,
Minnesota Golden Gophers,ncaa,#7A0019,#FFCC33,NA,NA,Big 10,Minnesota,Golden Gophers,Minnesota Golden Gophers,http://content.sportslogos.net/logos/32/753/thumbs/r8cdw98hpgz0sevha7ejthble.gif,https://content.sportslogos.net/logos/32/753/thumbs/75338911986.gif
Mississippi State Bulldogs,ncaa,#660000,#FFFFFF,#CCCCCC,#75787B,SEC,Mississippi State,Bulldogs,Mississippi State Bulldogs,http://content.sportslogos.net/logos/32/755/thumbs/91xsfe9nvvedeghyqi4sx161k.gif,
Missouri State Bears,ncaa,#5E0009,#000000,NA,NA,MVC,Missouri State,Bears,Missouri State Bears,http://content.sportslogos.net/logos/32/4974/thumbs/497490162006.gif,
Missouri Tigers,ncaa,#000000,#F1B82D,NA,NA,SEC,Missouri,Tigers,Missouri Tigers,http://content.sportslogos.net/logos/32/757/thumbs/70yox0z4pkkwwedhxgo92kp9f.gif,
Monmouth Hawks,ncaa,#041E42,#53565A,NA,NA,MAAC,Monmouth,Hawks,Monmouth Hawks,http://content.sportslogos.net/logos/32/758/thumbs/75894422014.gif,
Montana Grizzlies,ncaa,#999999,#999999,NA,NA,Big Sky,Montana,Grizzlies,Montana Grizzlies,http://content.sportslogos.net/logos/32/759/thumbs/8w2u1hfnzaaqrqh0wy6hmgeh9.gif,
Montana State Bobcats,ncaa,#B9975B,#B9975B,NA,NA,Big Sky,Montana State,Bobcats,Montana State Bobcats,http://content.sportslogos.net/logos/32/760/thumbs/76067842013.gif,
Navy,ncaa,#00205B,#C5B783,NA,NA,Patriot,Navy,NA,Navy Midshipmen,http://content.sportslogos.net/logos/33/765/thumbs/udqt7nirahbtdehp0gn5pi0f6.gif,
NC State,ncaa,#CC0000,#000000,#FFFFFF,NA,ACC,NC State,NA,North Carolina State Wolfpack,http://content.sportslogos.net/logos/33/777/thumbs/77759072006.gif,https://content.sportslogos.net/logos/33/777/thumbs/jcmn1syys6pch785fhnb.gif
Nebraska,ncaa,#E41C38,#5F6A72,#000000,NA,Big 10,Nebraska,NA,Nebraska Cornhuskers,http://content.sportslogos.net/logos/33/766/thumbs/u5a0z147qunbzxwnec8ef7bkl.gif,
Nevada,ncaa,#003366,#807F84,NA,NA,MWC,Nevada,NA,Nevada Wolf Pack,http://content.sportslogos.net/logos/33/767/thumbs/76753092008.gif,
New Hampshire Wildcats,ncaa,#041E42,#BBBCBC,NA,NA,Am. East,New Hampshire,Wildcats,New Hampshire Wildcats,http://content.sportslogos.net/logos/33/768/thumbs/2864.gif,
New Mexico Lobos,ncaa,#BA0C2F,#A7A8AA,#63666A,#007A86,MWC,New Mexico,Lobos,New Mexico Lobos,http://content.sportslogos.net/logos/33/769/thumbs/ghyb25tvzhogmpe3beytq4wtg.gif,
New Mexico State Aggies,ncaa,#861F41,#97999B,#000000,NA,WAC,New Mexico State,Aggies,New Mexico State Aggies,http://content.sportslogos.net/logos/33/770/thumbs/77055192007.gif,
Niagara Purple Eagles,ncaa,#582C83,#FFFFFF,NA,NA,MAAC,Niagara,Purple Eagles,Niagara Purple Eagles,http://content.sportslogos.net/logos/33/772/thumbs/oi5inigc39oafmcd7f3fb7bhf.gif,
NJIT,ncaa,#D22630,#071D49,#C1C6C8,NA,A-Sun,NJIT,NA,NJIT Highlanders,http://content.sportslogos.net/logos/33/2605/thumbs/2vggzg8fholnbv4umcp5h1459.gif,
North Alabama,ncaa,#46166B,#DB9F11,#5F6062,NA,A-Sun,North Alabama,NA,North Alabama Lions,http://content.sportslogos.net/logos/33/4754/thumbs/475436650.gif,
North Carolina,ncaa,#7BAFD4,#FFFFFF,#13294B,#000000,ACC,North Carolina,NA,North Carolina Tar Heels,http://content.sportslogos.net/logos/33/775/thumbs/77515392015.gif,https://content.sportslogos.net/logos/33/775/thumbs/77594031983.gif
North Dakota State Bison,ncaa,#0A5640,#FFC72A,NA,NA,Summit,North Dakota State,Bison,North Dakota State Bison,http://content.sportslogos.net/logos/33/781/thumbs/ffvn0mdlghiy8hegag754ji2l.gif,
North Florida Ospreys,ncaa,#00246B,#D9D9D9,NA,NA,A-Sun,North Florida,Ospreys,UNF Ospreys,http://content.sportslogos.net/logos/35/4947/thumbs/494770022014.gif,
North Texas Mean Green,ncaa,#00853E,#000000,NA,NA,C-USA,North Texas,Mean Green,North Texas Mean Green,http://content.sportslogos.net/logos/33/782/thumbs/78267462005.gif,
Northern Arizona Lumberjacks,ncaa,#FFD200,#FBB040,NA,NA,Big Sky,Northern Arizona,Lumberjacks,Northern Arizona Lumberjacks,http://content.sportslogos.net/logos/33/784/thumbs/78473542014.gif,
Northern Colorado Bears,ncaa,#F6B000,#F6B000,NA,NA,Big Sky,Northern Colorado,Bears,Northern Colorado Bears,http://content.sportslogos.net/logos/33/4954/thumbs/495432012015.gif,
